Name, Description/Focus, Registered users, Alexa ranking, Free, Premium, Supports same-sex connections, Supports non-monogamous connections, Messaging other users, STD-notification
Lovestruck.com, Online dating for single professionals in UK  Hong Kong and Singapore, 300 000 registered as of 2012[39], 219 424[40], Non-free, Yes, Yes, ?, Non-free, 
Mamba, Social-network-like dating site  primarily CIS/former Soviet Union  but some international presence. Primary language is Russian  but all languages welcome (and searchable). Caters to all audiences., 40 000 000 as of 2019[41], 1 999[42] for named portal; also 3-5% of mail.ru (#31) and rambler.ru (#191)  which offer access to the same services and communication with the entire user pool through love.mail.ru and love.rambler.ru subdomains, Free: communication  profile and picture views  simpler engine  blogs, Yes: Premium content like additional search criteria and double appearances in others' relevant searches for "VIP membership". Single payments for regional advertising of profile (one-time appearance in scrolling banner for $1 – user picture  link  short text for mouseover; bidding war for stationary second banner + cost of $1/minute)., Yes, ?, Free, 
Manhunt, Profile-based dating website for men seeking men, , 10 214[43], Free: Messaging  search  20 profile views per day  video chat., Yes/No: Manhunt VIP includes unlimited profile views  view full-sized profile photos  unlimited buddies  unlimited blocks  saved searches, Yes (exclusively), ?, Free
Match.com, , 96 000 000 registered; as of 2010[44] 1 377 000 active (2009)[45], 1 690[46], Non-free, Yes, Yes, ?, Non-free, 
Matchmaker.com, Dating service founded in 1986, , 259 771[47], , , Yes, ?, 
Meetic, European online dating service owned by IAC, 42 000 000 registered as of 2011[48], 27 589[49], Non-free, Yes, Yes, , , 
Moonit, Offers compatibility match according to user' birthdate., 2 000 000 registered; as of 2014[50], 747 471[51], Partial, Yes, Yes, ?, Partial, 
OkCupid (OKC), Uses answers from user-generated questions to find matches that conform to a user's stated preferences., 30 000 000+ active as of 2013, 1 044[52], Free, Yes/No; Free to join  search  messaging  and chat. Non essential features like sponsored profile promotion available for paid "A-List" members.[53][54], Yes, Yes, Yes  after mutual match., 
Parship, Dating site for people looking for a long-term relationship  using a personality test. Available in Europe and Mexico., , 224 512[55], Partial, Yes; free profile but subscription required for most features including messaging., Yes, , Non-free
Perfectmatch.com, This dating website is using heuristic algorithms to find matches., , 2 300 989[56], Non-free, Yes, Yes, , Non-free, 
PlentyofFish (POF), Dating site mostly active in United States  Canada  United Kingdom and Brazil, 100 000 000 registered as of 2015[57], 878[58], Free, Yes/No; While it is free to use  POF offers premium services as part of their upgraded membership  such as seeing the date and time a user viewed your profile and allowing you to see whether a user read and/or deleted your message.[59], Yes, , Free, 
Right Stuff, Dating site for graduates and faculty of Ivy League  Seven Sisters  and about 50 similar colleges and universities and medical schools, 4900, 4 522 502[60], No, $50 Fee for 6 month membership  plus $3 for profile of members of interest, ?, ?, Free, 
RocknRollDating, Dating site for musical compatible couples. Supports heterosexual  same sex and polyamorous relationships., 6 000 as of 2011, N/A[61], Free, No, Yes, ?, Free, 
Scruff, Dating app for gay and bisexual men, 10 million registered users (2016)[62], 339 730[63], Free, Yes, Yes (exclusively), Yes, Free, Yes
ShakeMyWorld, Swedish. Listed as one of the top 100 Swedish web sites of 2008.[64], , N/A[65], Non-free, Non-free based on user creating activities., Yes, , , 
SpeedDate.com, Online speed dating site  where users meet via text  audio  and video chat, 9 000 000 registered as of 2010[44], 299 586[66], Partial, Premium users can continue communicating after unlimited free speed dates, Yes, , , 
Spray Date, Run by Spray Network AB, , N/A[67], Partial, Premium users can see larger images and have more search options, Yes, , , 
Taimi, Geosocial networking application based on Android and iOS for LGBTQI+ community., 2 000 000+ as of 2019[68], 342 235[69], Free, Yes, Yes, Yes, Free, 
Tastebuds.fm, Utilizes tastes in music, , 115 370[70], Non-free (As of 2014[update]), Yes; Subscription required to send or receive messages., Yes, , Used to be free and is free for users that joined before it became non-free. Not free for new users, 
Tawkify, Has human matchmakers who set up matches rather than having users find each other.[71], , 169 895[72], Non-free, Non-free based on user creating activities., Yes, , Non-free, 
Tinder, Mobile single dating site, 50 000 000 registered; as of 2015[73], 14 870[74], Free, Yes – premium users get unlimited swipes  can undo a no-swipe  can browse in other locations  in addition to some other preferences and features, Yes, ?, Yes  after mutual match., 
Zoosk, Has an integration with Facebook community.[75], 50 000 000 as of 2011[76], 5 153[77], Non-free, Yes/No; Searching and viewing partial profiles is included with free account like most dating sites  fee or monthly subscription for full communication with other members.[78], Yes, , Non-free, 
