Feature, Android, iOS, Windows 10 Mobile, BlackBerry 10, Tizen, Sailfish OS, Ubuntu Touch
Non-English languages support, Partial[297], Yes[298][299][300], Yes, Yes, Limited (Search is not diacritical mark-insensitive), Yes, Yes
Underlining spell checker, 2.3+[301][302], Yes[303], Yes[304], Yes, No, ?, No
Built-in system-wide dictionary, Built into keyboard app. Available on every device.[305], 5+[306], Yes[307], Yes, No, Yes, Yes
Autoexpanding text replacements, Yes, 5+[308], Yes[307], Yes[309], ?, ?, ?
Keyboard next word prediction, No [310] 3rd party software[311], 8+[312], Yes[313], Yes, No, Yes, Yes
Keyboard cursor controller, Google Keyboard;[314];[315], 12+;[316] 9-11: Only on devices with 3D Touch;[317], Yes[318], No, No, No, Yes
Optical character recognition input method, No[319], 11+: Notes app;[320] 8+: Only for inputting credit card details[321], No, No, No, No, No
Third party input methods, Yes[322], 8+, No, No  only for Android apps through sideload of Android keyboard[323], ?, ?, ?
Gesture text input, 4+[324], 13+;[325] 8+: 3rd party software like SwiftKey, 8.1+[326], Yes, ?, No[327], No
Emoji support, 4.4+[328], Yes[329], Yes[330], 10.2+[331], ?, 3rd party software, Yes
