Name, Parsing algorithm, Input grammar notation, Output languages, Grammar  code, Lexer, Development platform, IDE, License
SP (Simple Parser), Recursive descent, Python, Python, {{D-P|Separate}}, generated, {{Yes|All}}, {{No}}, {{Free}}  GNU LGPL
Spirit, Recursive descent, ?, C++, {{D-A|Mixed}}, internal, {{Yes|All}}, {{No}}, {{Free}}  Boost
Sprache, LL  backtracking, C#, interpreted, {{D-A|Mixed}}, internal, {{Some|.NET Framework}}, {{No}}, {{Free}}  MIT
Styx, LALR(1), ?, C  C++, {{D-P|Separate}}, generated, {{Yes|All}}, {{No}}, {{Free}}  GNU LGPL
Sweet Parser, LALR(1), ?, C++, {{D-P|Separate}}, generated, {{Some|Windows}}, {{No}}, {{Free}}  zlib
Tap, LL(1), ?, C++, {{D-A|Mixed}}, generated, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
TextTransformer, LL(k), ?, C++, {{D-A|Mixed}}, generated, {{Some|Windows}}, {{Yes}}, {{Proprietary}}
TinyPG, LL(1), ?, C#  Visual Basic, ?, ?, {{Some|Windows}}, {{Yes}}, {{Partial}}  CPOL 1.0
Toy Parser Generator, Recursive descent, ?, Python, {{D-A|Mixed}}, generated, {{Yes|All}}, {{No}}, {{Free}}  GNU LGPL
TP Yacc, LALR(1), ?, Turbo Pascal, {{D-A|Mixed}}, external, {{Yes|All}}, {{Yes}}, {{Free}}  GNU GPL
UltraGram, LALR(1)  LR(1)  GLR, BNF, C++  Java  C#  Visual Basic .NET, {{D-P|Separate}}, external, {{Some|Windows}}, {{Yes}}, {{Free}}  public domain
UniCC, LALR(1), EBNF, C  C++  Python  JavaScript  JSON  XML, {{D-A|Mixed}}, generated, {{Some|POSIX}}, {{No}}, {{Free}}  BSD
UrchinCC, LL(1), ?, Java, ?, generated, {{Some|Java virtual machine}}, {{No}}, ?
Whale, LR(?)  some conjunctive stuff  see Whale Calf, ?, C++, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Proprietary}}
wisent, LALR(1), ?, C++  Java, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  GNU GPL
Yacc AT&T/Sun, LALR(1), Yacc, C, {{D-A|Mixed}}, external, {{Some|POSIX}}, {{No}}, {{Free}}  CPL & CDDL
Yacc++, LR(1)  LALR(1), Yacc, C++  C#, {{D-A|Mixed}}, generated or external, {{Yes|All}}, {{No}}, {{Proprietary}}
Yapps, LL(1), ?, Python, {{D-A|Mixed}}, generated, {{Yes|All}}, {{No}}, {{Free}}  MIT
yecc, LALR(1), ?, Erlang, {{D-P|Separate}}, generated, {{Yes|All}}, {{No}}, {{Free}}  Apache 2.0
Visual BNF, LR(1)  LALR(1), ?, C#, {{D-P|Separate}}, generated, {{Some|.NET Framework}}, {{Yes}}, {{Proprietary}}
YooParse, LR(1)  LALR(1), ?, C++, {{D-A|Mixed}}, external, {{Yes|All}}, {{No}}, {{Free}}  MIT
Parse, LR(1), BNF in C++ types, ?, ?, none, {{Some|C++11 standard compiler}}, {{No}}, {{Free}}  MIT
GGLL, LL(1), Graph, Java, {{D-A|Mixed}}, generated, {{Some|Windows}}, {{Yes}}, {{Free}}  MIT
Product, Parsing algorithm, Input grammar notation, Output languages, Grammar  code, Lexer, Development platform, IDE, License
