Language, Intended use, Imperative, Object-oriented, Functional, Procedural, Generic, Reflective, Event-driven, Other paradigm(s), Standardized?
1C:Enterprise, Application  RAD  business  general  web  mobile, {{Yes}}, , {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, Object-based  Prototype-based programming, {{no}}
ActionScript 3.0, Application  client-side  web, {{Yes}}, {{Yes}}, {{Yes}}, , , , {{Yes}}, , {{yes|1996}}  ECMA
Ada, Application  embedded  realtime  system, {{Yes}}, {{Yes}}[2], , {{Yes}}[3], {{Yes}}[4], , , concurrent [5] distributed [6], {{yes|1983}}  2005  2012  ANSI  ISO  GOST 27831-88[7]
Aldor, Highly domain-specific  symbolic computing, {{Yes}}, {{Yes}}, {{Yes}}, , , , , , {{no}}
ALGOL 58, Application, {{Yes}}, , , , , , , , {{no}}
ALGOL 60, Application, {{Yes}}, , , , , , , , {{yes|1960}}  IFIP WG 2.1  ISO[8]
ALGOL 68, Application, {{Yes}}, , , , , , , concurrent, {{yes|1968}}  IFIP WG 2.1  GOST 27974-88 [9]
Ateji PX, Parallel application, , {{Yes}}, , , , , , pi calculus, {{no}}
APL, Application  data processing, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, array-oriented  tacit, {{yes|1989}}  ISO
Assembly language, General, {{Yes}}, , , , , , , any  syntax is usually highly specific  related to the target processor, {{Yes|IEEE 694-1985}}[10]
AutoHotkey, GUI automation (macros)  highly domain-specific, {{Yes}}, {{Yes}}[11], , {{Yes}}, , , {{Yes}}, , {{no}}
AutoIt, GUI automation (macros)  highly domain-specific, {{Yes}}, , , {{Yes}}, , , {{Yes}}, , {{no}}
Ballerina, Integration  agile  server-side  general, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , , {{Yes}}, concurrent  transactional  statically and strongly typed programming  diagrammatic / visual programming, {{Yes|2018}} De facto standard via Ballerina Language Specification[12]
Bash, Shell  scripting, {{Yes}}, , , {{Yes}}, , , , , {{no}}  but optionally POSIX.2 [13]
BASIC, Application  education, {{Yes}}, , , {{Yes}}, , , , , {{yes|1983}}  ANSI  ISO  ECMA
BeanShell, Application  scripting, {{Yes}}, {{Yes}}, {{Yes}}, , , {{Yes}}, , , {{no|In progress}}  JCP[14]
BLISS, System, , , , {{Yes}}, , , , , {{no}}
BlitzMax, Application  game, {{Yes}}, {{Yes}}, , {{Yes}}, , {{Yes}}, , , {{no}}
Boo, Application  game scripting, , {{Yes}}, , , , , , , {{no}}
Bro, domain-specific  application, {{Yes}}, , , , , , {{Yes}}, , {{no}}
C, Application  system [15] general purpose  low-level operations, {{Yes}}, , , {{Yes}}, {{Yes}}, , , , {{yes|1989}}  ANSI C89  ISO C90  ISO C99  ISO C11  ISO C18[16]
C++, Application  system, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, , , , {{yes|1998}}. ISO/IEC 2003  ISO/IEC 2011 ISO/IEC 2014 ISO/IEC 2017[17]
C#, Application  RAD  business  client-side  general  server-side  web, {{Yes}}, {{Yes}}, {{Yes}}[18], {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, structured  concurrent, {{yes|2000}}  ECMA  ISO[19]
Clarion, General  business  web, {{Yes}}, {{Yes}}, {{Yes}}[20], , , , , , {{unknown}}
Clean, General, , , {{Yes}}, , {{Yes}}, , , , {{no}}
Clojure, General, , , {{Yes}}, , , , , concurrent, {{no}}
CLU, General, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, , , , {{no}}
COBOL, Application  business, {{Yes}}, {{Yes}}, , {{Yes}}, , , , , {{yes|ANSI X3.23 1968  1974  1985; ISO/IEC 1989:1985  2002  2014}}
Cobra, Application  business  general  web, {{Yes}}, {{Yes}}, {{Yes}}, , {{Yes}}, {{Yes}}, , , {{no}}
ColdFusion (CFML), Web, , {{Yes}}, , {{Yes}}, , , , , {{no}}
Common Lisp, General, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, {{Yes}}, extensible syntax  Array-oriented  syntactic macros  multiple dispatch  concurrent, {{yes|1994}}  ANSI
COMAL 80, Education, {{Yes}}, , , {{Yes}}, , , , , {{no}}
