Aspect, Esperanto, Ido, Example
Alphabet, uses diacritics (?  ?  ?  ?  ?  ?) and digraphs, uses digraphs (ch  sh  qu), Translation of "chamber"  "shoe"  and "square": {{font color|red|?}}ambro / {{font color|red|?}}uo / {{font color|red|kv}}adrato (Esp.) {{font color|red|ch}}ambro / {{font color|red|sh}}uo / {{font color|red|qu}}adrato (Ido)
Gender, masculine by default; feminine optional, gender-neutral by default; masculine and feminine optional, Gender of "elephant": elefanto (default) / elefantino (fem.) (Esp.) elefanto (default) / elefantulo (masc.) / elefantino (fem.) (Ido)
Antonyms, formed by mal- prefix, come from natural vocabulary, Translation of "warm" and "cold": varma / {{font color|red|mal}}varma (Esp.) varma / kolda (Ido)
Infinitives, -i suffix, -ar suffix, Translation of "to go": ir{{font color|red|i}} (Esp.) ir{{font color|red|ar}} (Ido)
Imperative, -u suffix, -ez suffix, Translation of "go!": ir{{font color|red|u}}! (Esp.) ir{{font color|red|ez}}! (Ido)
Plural noun, -oj suffix (agglutinative), -i suffix (synthetic), Plural of domo ("house"): dom{{font color|red|oj}} (Esp.) dom{{font color|red|i}} (Ido)
Adjectives, Agree with nouns, Not declined, Translation of "big dogs": granda{{font color|red|j}} hundoj (Esp.) granda hundi (Ido)
Accusative form, Mandatory, Only when object precedes subject, Translation of "I drink milk" / "I milk drink": "mi trinkas lakto{{font color|red|n}}" / "mi lakton trinkas" (Esp.) "me drinkas lakto" / "me lakton drinkas" (Ido)
Proper nouns, Sometimes rendered, Never rendered, Translation of "Europe": E?ropo (Esp.) Europa (Ido)
No. of speakers, c. 100 000–2 000 000, c. 100–1 000, 
