File system, DOS, Windows 9x, Windows NT, Linux, "classic" Mac OS, macOS, FreeBSD, OS/2, BeOS, Minix, Solaris, z/OS
ext3, {{no}}, {{no}}, {{yes}} with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84], {{yes}}, {{partial}} (read only){{citation needed|date=October 2016}}, {{yes}} with Paragon ExtFS [85] or partial with ext2fsx (journal not updated on writing), {{partial}} (read-only)[86][87], {{no}}, {{yes2|with addon}}, {{dunno}}, {{yes}}, {{dunno}}
ext4, {{no}}, {{no}}, {{yes}} with Paragon ExtFS [82] or partial with Ext2 IFS[83] or ext2fsd[84], {{yes}}, {{dunno}}, {{yes}} with Paragon ExtFS [85], {{partial}} support in kernel since version 10.1 (read-only)[86][87], {{no}}, {{yes2|with addon}}, {{dunno}}, {{dunno}}, {{dunno}}
NOVA, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
Lustre, {{no}}, {{no}}, {{no}}, {{yes}}[88], {{dunno}}, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}
NILFS, {{no}}, {{no}}, {{dunno}}, {{yes}} as an external kernel module, {{dunno}}, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
F2FS, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
ReiserFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{partial}} - Read Only from 6.0 to 10.x[89] and dropped in 11.0[90][91], {{dunno}}, {{yes2|with addon}}, {{dunno}}, {{dunno}}, {{dunno}}
Reiser4, {{no}}, {{no}}, {{no}}, {{yes}} with a kernel patch, {{dunno}}, {{dunno}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
SpadFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{no}}, {{dunno}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
OCFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
OCFS2, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
XFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{partial}}, {{dunno}}, {{partial|with addon (read only)}}, {{dunno}}, {{dunno}}, {{dunno}}
JFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
QFS, {{no}}, {{no}}, {{no}}, {{partial}} - client only[92], {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}
Be File System, {{no}}, {{no}}, {{no}}, {{partial}} - read-only, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}
NSS, {{no}}, {{no}}, {{no}}, {{yes}} via EVMS{{efn |name=EVMS |Supported using only EVMS; not currently supported using LVM}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
NWFS, {{partial}} (with Novell drivers), {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
ODS-2, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
ODS-5, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
UDF, {{no}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}
VxFS, {{no}}, {{no}}, {{no}}, {{yes}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}
Fossil, {{no}}, {{no}}, {{no}}, {{yes}}{{efn |name=fossil-p9p |Provided in Plan 9 from User Space}}, {{no}}, {{yes}}{{efn |name=fossil-p9p}}, {{yes}}{{efn |name=fossil-p9p}}, {{no}}, {{no}}, {{no}}, {{yes}}{{efn |name=fossil-p9p}}, {{dunno}}
ZFS, {{no}}, {{no}}, {{yes}}[93], {{yes}} with FUSE[94] or as an external kernel module[95], {{no}}, {{yes}} with Read/Write Developer Preview[96], {{yes}}, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}
Btrfs, {{no}}, {{no}}, {{Partial}} with WinBtrfs[97], {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
VMFS2, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
VMFS3, {{no}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{no}}, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
IBM HFS, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}
IBM zFS, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{no}}, {{yes}}
ReFS, {{no}}, {{no}}, {{yes}} (from Windows Server 2012 and from Windows 8.1), {{Partial}} - with Paragon ReFS for Linux, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
ISO 9660, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}
Rock Ridge, {{no}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{yes}}, {{dunno}}
Joliet ("CDFS"), {{no}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}
SquashFS, {{no}}, {{no}}, {{partial}} (There are ports of unsquashfs and mksquashfs.), {{yes}}, {{no}}, {{partial}} (There are ports of unsquashfs and mksquashfs.), {{partial}} (There are ports of unsquashfs and mksquashfs and fusefs-port.[98][99]), {{no}}, {{no}}, {{no}}, {{no}}, {{no}}
File system, DOS, Windows 9x, Windows NT, Linux, "classic" Mac OS, macOS, FreeBSD, OS/2, BeOS, Minix, Solaris, z/OS
