Engine, Origin, Designer, Vehicle, Use, Propellant, Specific impulse (s){{efn|name=VSL|At sea level if denoted SL  in vacuum otherwise}}, Thrust (N){{efn|name=VSL}}, Mass (kg), Thrust:{{zwsp}}weight ratio{{efn|Weight is calculated at standard gravity.}}, Chamber pressure (bar), Oxidiser:{{zwsp}}fuel ratio
Aestus, {{nobr|{{EUR}}}}, Airbus Defence and Space, Ariane 5 G  G+  ES, Upper, N2O4?/?MMH, {{nts|324}}[65], {{nts|30 000}}, {{nts|111}}, {{nts|27.6}}, {{nts|11}}, {{nts|1.9}}
Aestus II, {{EUR}}, Airbus Defence and Space, Ariane 5, Upper, N2O4?/?MMH, {{nts|340}}[66], {{nts|55 400}}, {{nts|138}}, {{nts|41.0}}, {{nts|60}}, {{nts|1.9}}
F-1{{efn|Most powerful single-chamber liquid-fueled rocket engine ever developed}}, {{Flag|USA}}, Rocketdyne, Saturn V, 1st, RP-1?/?LOX, {{nts|304}} {{nts|263}} (SL), {{nts|7 770 000}} {{nts|6 770 000}} (SL), {{nts|8 391}}, {{nts|82.27}}, {{nts|70}}, {{nts|2.27}}
F-1A{{efn|Tested but never flown}}[67], {{Flag|USA}}, Rocketdyne, , 1st, RP-1?/?LOX, {{nts|303}} {{nts|270}} (SL), {{nts|8 989 000}} {{nts|8 007 000}} (SL), {{nts|9 015}}, {{nts|90.6}}, {{nts|80}}, {{nts|2.27}}
Gamma 2, {{UK}}, Bristol Siddeley, Black Arrow, 2nd, RP-1?/?H2O2, {{nts|265}}[68], {{nts|68 200}}, {{nts|173}}, {{nts|40.22}}, , {{nts|8}}
Gamma 8, {{UK}}, Bristol Siddeley, Black Arrow, 1st, RP-1?/?H2O2, {{nts|265}}[69], {{nts|234 800}}, {{nts|342}}, {{nts|70.01}}, {{nts|47.40}}, {{nts|8}}
HM-7A, {{EUR}}, Snecma, Ariane 1, 3rd, LH2?/?LOX, {{nts|443}}[70] {{nts|308}} (SL), {{nts|61 700}}, {{nts|149}}, {{nts|42.2}}, {{nts|30}}, {{nts|5}}
J-2, {{Flag|USA}}, Rocketdyne, Saturn V Saturn IB, 2nd  3rd, LH2?/?LOX, {{nts|421}}[71] {{nts|200}} (SL), {{nts|1 033 100}} {{nts|486 200}} (SL), {{nts|1 438}}, {{nts|73.18}}, {{nts|30}}, {{nts|5.5}}
J-2X, {{Flag|USA}}, Pratt & Whitney Rocketdyne, SLS(proposed), Upper, LH2?/?LOX, {{nts|448}}[72], {{nts|{{convert|294 000|lbf|disp=number}}}}, {{nts|{{convert|5 450|lb|disp=number}}}}, {{nts|58.41}}, {{nts|{{convert|1380|psi|bar|disp=number}}}}, {{nts|5.5}}–4.5
Kestrel, {{Flag|USA}}, SpaceX, Falcon 1, Upper, RP-1?/?LOX, {{nts|317}}, {{nts|31 000}}, {{nts|52}}, {{nts|65}}, {{nts|9.3}}, 
LE-5, {{JPN}}, Mitsubishi NASDA, H-I, Upper, LH2?/?LOX, {{nts|450}}[73], {{nts|103 000}}, {{nts|245}}, {{nts|42.87}}, {{nts|36.0}}, {{nts|5.5}}
LE-5A, {{JPN}}, Mitsubishi NASDA, H-II, Upper, LH2?/?LOX, {{nts|452}}[74], {{nts|121 500}}, {{nts|242}}, {{nts|51.19}}, {{nts|40.0}}, {{nts|5}}
LE-7, {{JPN}}, Mitsubishi NASDA, H-II, 1st, LH2?/?LOX, {{nts|446}}[75], {{nts|1 078 000}} {{nts|843 500}} (SL), {{nts|1 714}}, {{nts|64.13}}, {{nts|127}}, {{nts|5.9}}
Merlin 1C, {{Flag|USA}}, SpaceX, {{plainlist| Falcon 1 Falcon 9 }}, 1st  2nd, RP-1?/?LOX, {{nts|304}}[76] {{nts|266}} (SL)[77], {{nts|480 408}}[76] {{nts|422 581}} (SL)[76], {{nts|630}}, {{nts|92}}[76], {{nts|67.7}}, 
Merlin 1D, {{Flag|USA}}, SpaceX, Falcon 9 v1.1, 1st, RP-1?/?LOX, {{nts|311}}[78] {{nts|282}} (SL)[78], {{nts|723 000}}, {{nts|470}}, {{nts|158}}, {{nts|97}}, {{nts|2.34}}
