, Description, Creator, First public release date, Latest stable version, Latest Stable Release Date, List Price (USD), Software license
Ability Photopaint, Graphics editor with some advanced features, Ability Software, {{dts|2001|03}}, 4, , , {{proprietary}}
ACDSee, , , , 19, , {{nonfree|$59}}, {{proprietary}}
ACDSee Pro, , , , 9, , {{nonfree|$99}}, {{proprietary}}
ACDSee Ultimate, , , , 9, , {{nonfree|$149}}, {{proprietary}}
Acorn Image Editor, Image editor and graphics creator for macOS, Flying Meat Inc., {{dts|2007|09|10}}, 5.6.2, {{dts|2017|01|24}}, , {{proprietary}}
Adobe Fireworks*, Alternative to Photoshop targeted at web designers  discontinued after CS6, Macromedia, {{dts|1998}}, CS6 / 12.0, {{dts|2012|05|07}}, Discontinued, {{proprietary}}
Adobe Photoshop, Professional image editor and graphics creation tool, Adobe Systems, {{dts|1990|02|19}}, CC 2019 / 20.0.4.260, {{dts|2019|03|06}}, {{nonfree|$9.99/month}}, {{proprietary}}
Adobe Photoshop Elements, Raster graphics editor for entry-level photographers  image editors and hobbyists, , , 14.0, {{dts|2015|09|24}}, {{nonfree|$99}}, {{proprietary}}
Adobe Photoshop Lightroom, Photo editor, Adobe Systems, {{dts|2007|02|19}}, 8.2, {{dts|2019|02|07}}, {{nonfree|$9.99/month}}, {{proprietary}}
Affinity Photo, Professional image editor for Windows  macOS and iOS, Serif Europe, {{dts|2015|07|09}}, 1.6.7, {{dts|2018|03|01}}, {{nonfree|$49.99}}, {{proprietary}}
Autodesk SketchBook Pro, Paint and drawing toolset for use with digitized pen tablets & tablet computers, Autodesk, {{dts|2004}}, 2016 (4.1), , , {{proprietary}}
Artipic, Image editor for Windows and macOS, Artipic AB, {{dts|2014}}, 2.6, October 30  2017, , {{proprietary}}
ArtRage, Digital paint program for tablet computers, Ambient Design, {{dts|2004}}, 4.5.1, , , {{proprietary}}
Artweaver, Emulates physical painting experience on a computer, Boris Eyrich, {{dts|2002}}, 3.0, , , {{nonfree|Freeware}}
Bibble*, Photo editor and organizer with camera raw file support, Bibble Labs, {{dts|2000}}, 5.2, , , {{proprietary}}
Bloom Image Editor, Procedural node-based image editor, Sad Cat Software, {{dts|2015}}, 1.0.181, , , {{proprietary}}
Brush Strokes Image Editor, Image editor like Windows Paint, Paul Bird, {{dts|2004}}, 2.0, , , {{nonfree|Freeware}}
Capture One, Professional raw converter and image editor, Phase One, {{dts|2002}}, 12, , , {{proprietary}}
Chasys Draw IES, Image Editor with layers  animation  icon edit  super-res  batch and camera raw, John Paul Chacha, {{dts|2001}}, 4.56.01, November 12  2018, , {{nonfree|Freeware}}
CinePaint, Moving picture  photo and graphics editor, Robin Rowe, {{dts|2002|07|04}}, 2011 (1.0), , , {{free|GPL}}
CodedColor PhotoStudio Pro, An bitmap graphics editor and image organizer for Windows pc, 1STEIN Corp., {{dts|2001}}, 6.2, , , {{proprietary}}
Corel PaintShop Pro, Advanced image editor and graphics creator, Jasc Software, {{dts|1992}}, X7, , , {{proprietary}}
Corel Painter, Made to create natural-looking artistic images, Mark Zimmer  Tom Hedges  John Derry, {{dts|1991|08}}, 15.1.0.740, {{dts|2016|01|12}}, , {{proprietary}}
Corel PHOTO-PAINT, Professional image editor and graphics creator with advanced features, Corel Corporation, {{dts|1992}}, X7/17, , , {{proprietary}}
darktable, Photography workflow application and raw developer, Johannes Hanika, {{dts|2009|04}}, 2.0, , , {{free|GPL 3}}
Deluxe Paint*, Discontinued basic editor, Dan Silva, {{dts|1985}}, 5, , , {{proprietary}}
Deneba Canvas, Graphics editor and creator supporting both raster graphics and vector graphics.It also work on GIS data., Jorge Miranda  Joaquin de Soto  Manny Menendez, {{dts|1987|09}}, 14, , , {{proprietary}}
DigiKam, Free photo organizer and image editor, Renchi Raju  Gilles Caulier, {{dts|2002}}, 4.10.0, , , {{free|GPL}}
Digital Photo Professional, Photo organizer and image editor from Canon, Canon Inc., , 4.2.10, , , {{proprietary}}
Erdas Imagine, Advanced remote sensing and GIS ability; handles multispectral images, ERDAS  Inc., {{dts|1980}}, 2016 (16), {{dts|2016|06|14}}, , {{proprietary}}
Fatpaint, Full featured web-based graphic design and photo editing application, Mersica Inc., {{dts|2010}}, 1.99.55, , , {{nonfree|Freeware}}
Fotografix, Freeware  portable image editor, L. Madhavan, {{dts|2009|04|14}}, 1.5, , , {{nonfree|Freeware}}
F-Spot, Image viewer and organizer for GNOME, Ettore Perazzoli, {{dts|2005}}, 0.8.2, , , {{free|GPLv2}}
G'MIC, Free command line software for 2D or 3D image processing and visualization, David Tschumperlé, {{dts|2008|10}}, 1.7.9, , , {{free|CeCILL}}
GIMP, Free image editor and graphics creator, Spencer Kimball  Peter Mattis, {{dts|1996|01}}, 2.10.12, November 8  2018, , {{free|GNU (L)GPLv3+ v2.7+[3]}}
GimPhoto, Modification of the free and open-source graphics program GNU Image Manipulation Program (GIMP)  with the intent to be a free alternative to Adobe Photoshop., Ek Kian, , 1.4.3, , , {{free|GPLv2}}
GIMPshop, GIMP with a GUI similar to Adobe Photoshop, Scott Moschella, , 2.2.11, , , {{free|GPL}}
GNU Paint, Free and open-source raster graphics editor, Andy Tai, {{dts|2007|09|10}}, 0.3.3, , , {{free|GPL}}
GrafX2, GrafX2 with a GUI similar to Deluxe Paint, Sunset Design (Guillaume Dorme  Karl Maritaud), {{dts|1996}}, 2.5, {{dts|2018|05|19}}, , {{free|GPL}}
